ID;Hora de início;Hora de conclusão;Email;Nome;Primeiro Grupo;Informar o número do processo analisado.;Qual é o assunto do processo?;Qual é o resultado do recurso do contribuinte ao Carf?;Dar uma nota para a sua compreensão do texto. Se você considera que conseguiu comprender o voto resumido (lide, argumentos, decisão).;Dar uma nota para a sua compreensão do texto. Se você considera que conseguiu comprender o voto resumido (lide, argumentos, decisão).2;Dar uma nota para a coesão do texto, para o encadeamento das frases. Como o resumo exclui frases, se aparentemente as frases mais importantes foram mantidas. Se não parece haver uma lacuna entre a...
61;3/24/21 11:34:31;3/24/21 11:36:11;;;Segundo grupo;10675000307200500;NGDT - Normas Gerais de Direito Tributário;Não sei;;3;2
62;3/24/21 11:37:07;3/24/21 11:37:51;;;Segundo grupo;10675903184200900;PAF - Processo Administrativo Fiscal;Improcedente;;7;4
20;3/23/21 16:50:37;3/23/21 16:54:35;;;Primeiro grupo;10680724496201100;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;4;2
10;3/23/21 16:06:31;3/23/21 16:11:22;;;Primeiro grupo;10680902614201500;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
59;3/24/21 11:30:08;3/24/21 11:31:48;;;Segundo grupo;10880904190200800;IRPJ/CSLL;Procedente ou procedente em parte;;7;7
9;3/23/21 16:02:49;3/23/21 16:06:21;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
57;3/24/21 11:24:40;3/24/21 11:29:01;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;8
69;3/24/21 14:57:48;3/24/21 15:00:24;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
80;3/24/21 16:32:34;3/24/21 16:36:36;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;6
104;3/25/21 17:45:27;3/25/21 17:50:35;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
125;3/26/21 11:17:11;3/26/21 11:20:33;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;7;8
139;3/26/21 16:39:37;3/26/21 16:41:21;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
147;3/27/21 15:13:34;3/27/21 15:58:51;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;5;5
160;3/29/21 15:28:43;3/29/21 15:33:22;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
175;3/30/21 11:18:17;3/30/21 11:28:45;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
241;3/31/21 8:38:37;3/31/21 8:40:08;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
279;4/3/21 16:24:04;4/3/21 16:27:11;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;5;7
334;4/5/21 13:56:02;4/5/21 13:57:29;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
348;4/5/21 14:46:47;4/5/21 14:55:42;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
349;4/5/21 14:55:49;4/5/21 14:56:13;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
378;4/6/21 19:37:01;4/6/21 19:43:20;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;8
387;4/9/21 19:14:33;4/9/21 19:18:01;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
443;4/11/21 14:03:38;4/11/21 14:04:13;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
490;4/11/21 16:18:08;4/11/21 16:19:05;;;Terceiro grupo;10070000947200644;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
537;4/12/21 8:36:55;4/12/21 8:44:02;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;8
596;4/12/21 10:49:11;4/12/21 10:53:29;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
682;4/12/21 15:58:02;4/12/21 15:59:53;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;6;6
689;4/12/21 18:19:05;4/12/21 18:26:16;;;Primeiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;6;6
730;4/12/21 21:35:14;4/12/21 21:39:38;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;6
755;4/13/21 9:40:09;4/13/21 9:42:30;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
773;4/13/21 10:01:03;4/13/21 10:02:52;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;8
856;4/13/21 14:55:24;4/13/21 14:58:46;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;7;7
904;4/14/21 10:04:46;4/14/21 10:06:28;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;7
948;4/14/21 11:08:59;4/14/21 11:10:34;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
976;4/14/21 14:45:11;4/14/21 14:47:14;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;5;6
999;4/14/21 16:58:05;4/14/21 17:05:00;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;6;7
1004;4/14/21 19:34:25;4/14/21 19:36:26;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;7
1020;4/15/21 7:47:17;4/15/21 7:47:36;;;Segundo grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;5;5
1085;4/15/21 11:40:21;4/15/21 11:41:51;;;Terceiro grupo;10070000947200644;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
1145;4/15/21 14:47:17;4/15/21 14:51:30;;;Segundo grupo;10070000947200644;IRPJ/CSLL;Procedente ou procedente em parte;;7;6
1213;4/16/21 12:06:13;4/16/21 12:08:19;;;Primeiro grupo;10070000947200644;IRPJ/CSLL;Procedente ou procedente em parte;;9;7
733;4/12/21 21:43:17;4/12/21 21:44:26;;;Terceiro grupo;1016690001200921;IRPJ/CSLL;Procedente ou procedente em parte;;9;10
202;3/30/21 14:10:55;3/30/21 14:14:22;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;8;8
226;3/30/21 15:36:24;3/30/21 15:38:21;;;Primeiro grupo;10166900016200920;IRPJ/CSLL;Não sei;;3;1
250;3/31/21 14:25:11;3/31/21 14:27:07;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
299;4/4/21 11:56:44;4/4/21 12:09:14;;;Primeiro grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
408;4/9/21 23:17:47;4/9/21 23:21:53;;;Segundo grupo;10166900016200920;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;3
465;4/11/21 14:17:07;4/11/21 14:17:30;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;10;9
512;4/11/21 16:36:17;4/11/21 16:36:52;;;Terceiro grupo;10166900016200920;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;6
563;4/12/21 9:48:19;4/12/21 9:55:02;;;Segundo grupo;10166900016200920;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
581;4/12/21 10:10:29;4/12/21 10:10:52;;;Terceiro grupo;10166900016200920;PAF - Processo Administrativo Fiscal;Não sei;;8;8
584;4/12/21 10:11:05;4/12/21 10:12:40;;;Terceiro grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;8;8
626;4/12/21 11:47:35;4/12/21 11:49:49;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;8;8
665;4/12/21 15:09:30;4/12/21 15:10:18;;;Terceiro grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
709;4/12/21 21:17:50;4/12/21 21:20:07;;;Primeiro grupo;10166900016200920;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;6;4
735;4/12/21 21:44:28;4/12/21 21:45:59;;;Terceiro grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;8;9
820;4/13/21 11:55:03;4/13/21 11:55:41;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
853;4/13/21 14:45:10;4/13/21 14:53:31;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;9;7
988;4/14/21 15:10:19;4/14/21 15:12:15;;;Segundo grupo;10166900016200920;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1040;4/15/21 8:20:39;4/15/21 8:21:09;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;8;8
1078;4/15/21 10:39:56;4/15/21 10:40:25;;;Terceiro grupo;10166900016200920;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
1123;4/15/21 12:28:26;4/15/21 12:28:49;;;Terceiro grupo;10166900016200920;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
1177;4/15/21 19:32:01;4/15/21 19:32:15;;;Segundo grupo;10166900016200920;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
1254;4/17/21 16:42:14;4/17/21 16:44:31;;;Segundo grupo;10166900016200920;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
926;4/14/21 10:48:41;4/14/21 10:50:04;;;Terceiro grupo;101669000162009200;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
